,auc,bs,size
0,0.6543246762577961,0.027939784334255133,10
1,0.6543343459623499,0.02795781003565829,20
2,0.6548759556000578,0.02796329216206647,30
3,0.6566133381752645,0.027933193825828068,50
4,0.6589687748533882,0.027930618707579073,100
